Respondent_ID,Survey_Date,Year,Month_Num,Department,Age_Group,Sex,Question_Domain,Question_Code,Question_Text,Satisfaction_Response
R00001,2023-01-06,2023,1,Emergency,60+,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00001,2023-01-06,2023,1,Emergency,60+,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00001,2023-01-06,2023,1,Emergency,60+,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00001,2023-01-06,2023,1,Emergency,60+,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00001,2023-01-06,2023,1,Emergency,60+,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00001,2023-01-06,2023,1,Emergency,60+,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00001,2023-01-06,2023,1,Emergency,60+,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00001,2023-01-06,2023,1,Emergency,60+,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Unsatisfied
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Unsatisfied
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00002,2023-01-24,2023,1,Emergency,31-45,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Unsatisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00003,2023-01-06,2023,1,Emergency,46-60,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00004,2023-01-12,2023,1,Pharmacy,46-60,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Unsatisfied
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Unsatisfied
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00005,2023-01-14,2023,1,Pharmacy,60+,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00006,2023-01-09,2023,1,Pharmacy,31-45,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Unsatisfied
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00007,2023-01-01,2023,1,Pharmacy,31-45,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Unsatisfied
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00008,2023-01-08,2023,1,Pharmacy,46-60,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00009,2023-01-20,2023,1,Pharmacy,31-45,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Unsatisfied
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
