Year,Month_Num,Month_Name,Department,KPI_Category,Indicator,Unit,Direction,Target,Actual
2023,1,January,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,83.43
2023,2,February,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,79.58
2023,3,March,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,78.78
2023,4,April,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,73.77
2023,5,May,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,75.2
2023,6,June,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,76.84
2023,7,July,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,79.68
2023,8,August,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,76.64
2023,9,September,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,80.01
2023,10,October,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,77.24
2023,11,November,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,76.65
2023,12,December,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,77.93
2024,1,January,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,66.74
2024,2,February,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,66.81
2024,3,March,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,64.46
2024,4,April,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,60.68
2024,5,May,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,65.72
2024,6,June,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,70.73
2024,7,July,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,68.26
2024,8,August,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,70.65
2024,9,September,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,73.94
2024,10,October,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,74.45
2024,11,November,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,68.92
2024,12,December,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,71.72
2025,1,January,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,65.52
2025,2,February,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,60.39
2025,3,March,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,59.41
2025,4,April,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,55.52
2025,5,May,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,57.16
2025,6,June,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,59.3
2025,7,July,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,63.86
2025,8,August,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,67.64
2025,9,September,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,58.15
2025,10,October,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,63.57
2025,11,November,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,57.93
